BI0CE2,BI12E3,BI41E1,BI41E2,BI41E3,BI72E3,BI76E3,BI99E1,BI99E3,VC07E1,VC07E2,VC07E3,num_overtargets,total_traffic,cell_throughput,user_throughput,nextim_file,output_file,reward
8,2,4,8,2,5,10,7,2,8,3,6,2.0,98.43061999999999,12.810437013482618,4.753637512308998,Nextim_771.txt,Nextim_771.txt_throughput_21-22_fer.data,0.8782037262895809
8,2,4,5,6,5,10,7,2,8,3,6,2.0,98.56519000000002,12.802204112049713,4.761487720011497,Nextim_774.txt,Nextim_774.txt_throughput_21-22_fer.data,0.8781845916030605
7,2,5,8,6,5,10,7,2,8,3,6,2.0,98.33162000000003,12.768764202095623,4.794149383266128,Nextim_370.txt,Nextim_370.txt_throughput_21-22_fer.data,0.8781456792680876
8,2,4,8,6,5,10,7,2,8,7,6,2.0,98.34804000000001,12.750095764046353,4.812761753324363,Nextim_797.txt,Nextim_797.txt_throughput_21-22_fer.data,0.8781428758685359
8,2,4,6,6,5,9,7,2,8,3,6,2.0,98.57845,12.79548159835085,4.767037709047208,Nextim_950.txt,Nextim_950.txt_throughput_21-22_fer.data,0.878125965369903
8,2,4,8,3,5,10,7,2,8,5,6,2.0,98.36901,12.789421294461423,4.771848447307242,Nextim_816.txt,Nextim_816.txt_throughput_21-22_fer.data,0.8780634870884334
8,2,4,8,3,5,8,7,2,8,3,6,2.0,98.45341,12.79014757205174,4.771116497652297,Nextim_822.txt,Nextim_822.txt_throughput_21-22_fer.data,0.878063203485202
8,2,4,4,6,5,10,7,2,8,4,6,2.0,98.56519,12.797066199092534,4.763921931578124,Nextim_819.txt,Nextim_819.txt_throughput_21-22_fer.data,0.8780494065335329
8,4,4,8,6,5,10,7,2,8,6,6,2.0,98.34753,12.751600879399907,4.80913000579592,Nextim_942.txt,Nextim_942.txt_throughput_21-22_fer.data,0.8780365442597915
8,2,4,8,6,5,10,7,2,6,3,6,2.0,98.56626999999999,12.802471318627042,4.7579371528156145,Nextim_799.txt,Nextim_799.txt_throughput_21-22_fer.data,0.8780204235721328
6,2,4,5,6,5,10,7,2,8,3,6,2.0,98.56729,12.79087678832127,4.769328748402572,Nextim_1343.txt,Nextim_1343.txt_throughput_21-22_fer.data,0.8780102768361921
7,3,5,8,6,5,10,7,2,8,3,6,2.0,98.33162000000002,12.76248060323555,4.797437498830582,Nextim_624.txt,Nextim_624.txt_throughput_21-22_fer.data,0.8779959051033066
8,2,4,4,6,5,10,7,2,8,3,5,2.0,98.56963999999999,12.79365960880567,4.7660046362298285,Nextim_927.txt,Nextim_927.txt_throughput_21-22_fer.data,0.877983212251775
8,2,4,8,6,7,10,7,2,8,6,6,2.0,98.32521000000001,12.724198541536822,4.835027199306089,Nextim_936.txt,Nextim_936.txt_throughput_21-22_fer.data,0.8779612870421456
7,2,4,8,2,5,10,7,2,8,3,6,2.0,98.43062,12.80504013552585,4.753949144724305,Nextim_856.txt,Nextim_856.txt_throughput_21-22_fer.data,0.8779494640125078
7,2,4,5,6,5,10,7,2,8,3,6,2.0,98.56519000000002,12.796520650186261,4.761712899612459,Nextim_918.txt,Nextim_918.txt_throughput_21-22_fer.data,0.8779116774899361
8,2,5,8,6,5,9,7,2,8,3,6,2.0,98.34487999999999,12.762610422395907,4.795436242272005,Nextim_1367.txt,Nextim_1367.txt_throughput_21-22_fer.data,0.8779023332333956
8,2,4,8,2,6,10,7,2,8,3,6,2.0,98.41126,12.78709837857726,4.77045533277312,Nextim_818.txt,Nextim_818.txt_throughput_21-22_fer.data,0.8778776855675191
8,2,4,8,3,5,10,7,2,8,3,4,2.0,98.43765,12.78853928284417,4.76837246318624,Nextim_1298.txt,Nextim_1298.txt_throughput_21-22_fer.data,0.8778455873015205
5,2,4,8,6,5,10,7,2,6,3,6,2.0,98.56836999999999,12.784938977228169,4.771755184119451,Nextim_872.txt,Nextim_872.txt_throughput_21-22_fer.data,0.8778347080673811
8,2,4,7,6,9,10,7,2,8,3,6,2.0,98.35690999999998,12.679134503273689,4.877465033853456,Nextim_916.txt,Nextim_916.txt_throughput_21-22_fer.data,0.8778299768563573
7,2,5,8,6,6,10,7,2,8,3,6,2.0,98.31124000000001,12.745027738999159,4.811432140816407,Nextim_638.txt,Nextim_638.txt_throughput_21-22_fer.data,0.8778229939907783
8,2,4,8,6,9,10,7,2,7,3,6,2.0,98.35799,12.681087937050414,4.875066679478715,Nextim_841.txt,Nextim_841.txt_throughput_21-22_fer.data,0.8778077308264565
8,2,4,8,3,5,10,7,2,7,3,6,2.0,98.46832,12.806987621878678,4.748735632691344,Nextim_1301.txt,Nextim_1301.txt_throughput_21-22_fer.data,0.8777861627285011
8,2,4,7,3,5,10,7,2,8,3,6,2.0,98.46724,12.80495679355027,4.750280209349463,Nextim_888.txt,Nextim_888.txt_throughput_21-22_fer.data,0.8777618501449866
